H1,S1,B1,H2,S2,B2,H3,S3,B3
180, 90, 50, 270, 0, 60, 0, 80, 55
70, 50, 95, 155, 55, 95, 200, 45, 95
270, 20, 100, 350, 30, 100, 60, 40, 100
25, 58, 100, 29, 53, 100, 35, 48, 100, 39, 43, 100, 45, 38, 100
80, 29, 28, 80, 33, 61, 76, 22, 76, 60, 15, 65, 48, 10, 100
80, 29, 28, 74, 18, 84, 52, 12, 100, 43, 18, 98, 30, 46, 83
